cols,min,max
DE_load_actual,31307.0,77549.0
DE_solar_generation,0.0,27634.0
DE_wind_generation,135.0,39231.0
DE_price_day_ahead,-43.37030088601227,114.54428158152118
DE_temperature,-10.047,34.298
DE_radiation_direct_horizontal,0.0,818.5286
DE_radiation_diffuse_horizontal,0.0,392.0895
FR_load_actual,30426.0,93696.0
FR_solar_generation,0.0,5361.0
FR_wind_generation,262.0,10290.0
FR_price_day_ahead,-10.69,137.76796395912595
FR_temperature,-6.28,31.917
FR_radiation_direct_horizontal,0.0,861.6673
FR_radiation_diffuse_horizontal,0.0,398.563
CH_load_actual,1520.0736512856547,11872.274810744164
CH_solar_generation,0.0,375.20258020584333
CH_wind_generation,0.0,38.93
CH_price_day_ahead,-39.83634594862556,126.7235689314692
CH_temperature,-14.549,30.439
CH_radiation_direct_horizontal,0.0,890.2876
CH_radiation_diffuse_horizontal,0.0,412.0575
GB_load_actual,5512.0,57388.0
GB_solar_generation,0.0,8675.0
GB_wind_generation,0.0,10767.0
GB_price_day_ahead,0.0,139.849774612223
GB_temperature,-2.602,26.949
GB_radiation_direct_horizontal,0.0,793.0705839160228
GB_radiation_diffuse_horizontal,0.0,388.4485
year,2015.0,2017.0
